ID,Type,Number,Date,Latitude [deg],Longitude [deg],Height [m],Posx [m],Posy [m],Posz [m],Velx [mm/s],Vely [mm/s],Velz [mm/s],nSats,Gyrx [deg/s],Gyry [deg/s],Gyrz [deg/s],Magx [uT],Magy [uT],Magz [uT],CPU Temperature [°C]
ERRE,PVT,38941,2023-09-24 06:34:26.400002,67.93936726403055,21.336961772109326,8571.611000628298,2240791.8130029878,875313.9214400895,5896500.399707546,-11991,4332,9621,15,-192,109,715,29,1,68,None
ERRE,PVT,38942,2023-09-24 06:34:26.600002,67.93938973314808,21.337001923674716,8572.673440359189,2240789.4049760643,875314.7907041506,5896502.326881413,-12000,4364,9631,15,-158,79,718,27,0,70,None
ERRE,PVT,38943,2023-09-24 06:34:26.800002,67.93941220170802,21.337042103432978,8573.737079281189,2240786.9969905354,875315.6612523268,5896504.255142691,-12017,4351,9617,15,-114,-14,735,27,0,71,None
ERRE,PVT,38944,2023-09-24 06:34:27.000002,67.93943470544302,21.33708223654606,8574.805812691544,2240784.5881073554,875316.5293443394,5896506.189600374,-11981,4353,9624,15,-80,63,709,29,1,70,None
ERRE,PVT,38945,2023-09-24 06:34:27.200002,67.93945718561349,21.33712231126005,8575.861371683912,2240782.177778119,875317.3942361377,5896508.110859109,-12025,4322,9611,15,-105,138,701,28,0,72,None
ERRE,PVT,38946,2023-09-24 06:34:27.400002,67.93947971863139,21.337162406692894,8576.925981190356,2240779.765202245,875318.2591813684,5896510.042721948,-12042,4344,9612,15,-104,122,769,28,1,70,None
ERRE,PVT,38947,2023-09-24 06:34:27.600002,67.9395022457686,21.3372024313863,8578.00273961205,2240777.3585230475,875319.1232384244,5896511.985596975,-12000,4332,9698,15,-88,111,784,27,0,70,None
ERRE,PVT,38948,2023-09-24 06:34:27.900002,67.93953609530966,21.33726254770458,8579.606852383436,2240773.737761432,875320.4186956831,5896514.8921586545,-12009,4333,9668,15,-23,146,808,28,-1,72,None
ERRE,PVT,38949,2023-09-24 06:34:28.100002,67.9395585940077,21.337302467567522,8580.67903573352,2240771.333822129,875321.2790903919,5896516.829599129,-11968,4327,9697,15,33,158,845,26,0,71,None
ERRE,PVT,38950,2023-09-24 06:34:28.300002,67.93958113093602,21.337342347758735,8581.763740532095,2240768.9311823095,875322.1382015749,5896518.780247381,-12007,4308,9672,15,-38,171,869,27,0,73,None
ERRE,PVT,38951,2023-09-24 06:34:28.500002,67.93960366607577,21.337382242870383,8582.84620635912,2240766.5277025136,875322.9976543182,5896520.728744962,-11997,4308,9675,15,-131,93,876,28,0,69,None
ERRE,PVT,38952,2023-09-24 06:34:28.700002,67.93962619452081,21.3374220769752,8583.934338983692,2240764.1277814554,875323.8557443754,5896522.682213051,-11976,4302,9730,15,-240,66,862,27,1,71,None
ERRE,PVT,38953,2023-09-24 06:34:28.900002,67.93964870144612,21.337461816280296,8585.004984739238,2240761.7252646917,875324.7085443381,5896524.6185712265,-11984,4280,9734,15,-231,48,872,28,0,70,None
ERRE,PVT,38954,2023-09-24 06:34:29.100002,67.93967123672529,21.337501405774212,8586.086445347692,2240759.3260852164,875325.5558921344,5896526.566141247,-11977,4266,9758,15,-107,113,842,28,0,72,None
ERRE,PVT,38955,2023-09-24 06:34:29.300002,67.93969371663948,21.33754083098098,8587.154445928585,2240756.930043511,875326.3970573171,5896528.498913681,-11949,4218,9752,15,-79,190,834,29,-1,70,None
ERRE,PVT,38956,2023-09-24 06:34:29.500002,67.93971621264595,21.337580120807555,8588.227579867958,2240754.536313216,875327.2330201204,5896530.4371180795,-11970,4210,9713,15,-197,111,800,28,0,73,None
ERRE,PVT,38957,2023-09-24 06:34:29.700002,67.9397387262859,21.337619362772376,8589.30257643353,2240752.1422644663,875328.0666982492,5896532.377787812,-11967,4212,9734,15,-340,-1,813,27,0,71,None
ERRE,PVT,38958,2023-09-24 06:34:29.900002,67.93976122287317,21.33765849446072,8590.371295865587,2240749.749347415,875328.8958447628,5896534.311924064,-11947,4188,9730,15,-330,40,840,29,1,72,None
ERRE,PVT,38959,2023-09-24 06:34:30.100002,67.93978372285935,21.33769757792703,8591.442798630424,2240747.357811918,875329.7233544673,5896536.248781854,-11946,4187,9717,15,-182,86,814,28,-1,71,None
ERRE,PVT,38960,2023-09-24 06:34:30.300002,67.93980622661113,21.337736564538083,8592.517995198114,2240744.968684121,875330.5474360159,5896538.189220384,-11942,4152,9720,15,-94,150,788,29,1,73,None
